a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"19055",4,"Message Bottle Bubble**","Sending out a S.O.S from the depths of despair","",3000,"","{}",1,1576,"iap_messagebottle_item.webp","iap_messagebottle_preview.webp","iap_messagebottle_item_54x54.webp","iap_messagebottle_asset.png","#631e00","#a71e2c","#a71e2c","#d52d00","",-1,0,"",""
"20112",1,"Cyber Shades","Choice is an illusion created between those with power and those without","",5000,"","{}",0,887,"iap_frame_matrix_2.webp","iap_frame_matrix_preview_3.webp","","iap_frame_matrix_350x350_2.webp","","","","","",-1,0,"","over"
"766",6,"Bee Hive","* Exclusive Tournament prize","",1000,"","{}",1,244,"iap_badge_beehive.webp","iap_badge_beehive_preview.webp","iap_badge_beehive_54x54.webp","","","","","","",-1,0,"",""
"850",7,"Ex Machina","Birthed from the Great AI","",1500,"","{}",0,827,"iap_banner_exmachina.webp","iap_banner_exmachina_asset.webp","","iap_banner_exmachina_asset.webp","","","","","",-1,0,"",""
"2170",8,"Rainbow Popsicle","Anything is popsicle with this cue","",2000,"pool","{}",0,1649,"iap_game_pool_rainbowpop.webp","iap_game_pool_rainbowpop_preview.webp","","","","","","","",1170,0,"",""
"115",4,"Sushi","Oishii! Change your chat bubbles into a Sushi Roll","",1000,"","{}",0,809,"iap_sushi_item.webp","iap_sushi_preview.webp","iap_sushi_item_54x54.webp","iap_sushi_asset.png","#FFFFFF","#FFFFFF","#E8C838","#65B061","",-1,0,"",""
"2009",8,"Excalibur**","Behold Excalibur\, King Arthur's fabled sword in Pool","",5000,"pool","{}",1,1509,"iap_game_pool_excalibur.webp","iap_game_pool_excalibur_preview.webp","","","","","","","",1009,0,"",""
"60013",6,"Donut Dunk","* Exclusive Basketball Tournament prize","",500,"","{}",1,72,"iap_badge_donutdunk.webp","iap_badge_donutdunk_preview.webp","iap_badge_donutdunk_54x54.webp","","","","","","",-1,0,"",""
"60169",6,"Coffee Power","*Exclusive Tournament Prize","",1000,"","{}",1,1042,"iap_badge_coffeepower.webp","iap_badge_coffeepower_preview.webp","iap_badge_coffeepower_54x54.webp","","","","","","",-1,0,"",""
"60101",6,"Stein Badge*","Prost!","",500,"","{}",1,635,"iap_badge_stein.webp","iap_badge_stein_preview.webp","iap_badge_stein_54x54.webp","","","","","","",-1,0,"",""
"110",4,"Rainbow Pop*","Meow! Turn your chat bubbles into a Rainbow Cat","",2500,"","{}",1,1169,"iap_rainbowcat_item.webp","iap_rainbowcat_preview.webp","iap_rainbowcat_item_54x54.webp","iap_rainbowcat_asset.png","#3e79bd","#76e390","#1687EF","#85BA36","",-1,0,"",""
"450",5,"Gold Star","Add a Gold Star with a unique slot next to your name (limit 5)","",10000,"","{}",0,1737,"iap_badge_vipstar2.webp","iap_badge_vipstar2_preview.webp","iap_badge_vipstar2_54x54.webp","","","","","","",-1,0,"",""
"2006",8,"Steampunk","Gear up your cue with a clockwork style in Pool","",1000,"pool","{}",0,412,"iap_game_pool_steampunk.webp","iap_game_pool_steampunk_preview.webp","","","","","","","",1006,0,"",""
"4147",8,"Terraforce Scout","* Exclusive Ocho Tournament Prize","",4000,"crazy8","{}",1,1520,"iap_game_crazy8_terrascout.webp","iap_game_crazy8_terrascout_preview.webp","","","","","","","",1147,0,"",""
"666",6,"Napping Corgi*","Wake him up when September ends","",500,"","{}",1,1154,"iap_badge_napcorgi.webp","iap_badge_napcorgi_preview.webp","iap_badge_napcorgi_54x54.webp","","","","","","",-1,0,"",""
"930",7,"Digital Nomad","* Exclusive Tournament prize","",1000,"","{}",1,486,"iap_banner_digitalnomad.webp","iap_banner_digitalnomad_asset.webp","","iap_banner_digitalnomad_asset.webp","","","","","",-1,0,"",""
"1008",8,"Munich FC","Play as Munich FC in Table Soccer with this team kit","",1000,"tablesoccer","{}",0,405,"iap_game_tablesoccer_munichfc.webp","iap_game_tablesoccer_munichfc_preview.webp","","","","","","","",7,0,"",""
"2010",8,"Spartan Spear","Stand your ground and yell \"For Spartaaa!\" in Pool","",1000,"pool","{}",0,408,"iap_game_pool_spartanspear.webp","iap_game_pool_spartanspear_preview.webp","","","","","","","",1010,0,"",""
"637",6,"Makoto*","Makoto (22) is a high school teacher and her favorite food is onigiri","",1000,"","{}",1,126,"iap_badge_makoto.webp","iap_badge_makoto_preview.webp","iap_badge_makoto_54x54.webp","","","","","","",-1,0,"",""
"849",7,"Tropical Blossom","Vibe in vibrance","",500,"","{}",0,355,"iap_banner_tropical.webp","iap_banner_tropical_asset.webp","","iap_banner_tropical_asset.webp","","","","","",-1,0,"",""
"2026",8,"Northern Wolf","Be the King in the North with this cue in Pool","",2500,"pool","{}",0,422,"iap_game_pool_northernwolf.webp","iap_game_pool_northernwolf_preview.webp","","","","","","","",1026,0,"",""
"2129",8,"Divine Spear","* Exclusive Pool Tournament prize","",7500,"pool","{}",1,935,"iap_game_pool_chinesespear_2.webp","iap_game_pool_chinesespear_preview.webp","","","","","","","",1129,0,"",""
"616",6,"In Love","Show you're taken with this collectable name badge","",250,"","{}",0,934,"iap_badge_inlove.webp","iap_badge_inlove_preview.webp","iap_badge_inlove_54x54.webp","","","","","","",-1,0,"",""
"2143",8,"Borj Milad Cue","* Exclusive Pool Tournament Prize","",7500,"pool","{}",1,1139,"iap_game_pool_borjmilad_2.webp","iap_game_pool_borjmilad_preview_2.webp","","","","","","","",1143,0,"",""
"4107",8,"Chocobar Card**","Besides chocolate you’re my favorite","",2000,"crazy8","{}",1,996,"iap_game_crazy8_chocobar.webp","iap_game_crazy8_chocobar_preview.webp","","","","","","","",1107,0,"",""
"20133",1,"Mirror Frame**","The mirror symbolizes the sky and self-reflection","",3000,"","{}",1,1145,"iap_frame_mirror.webp","iap_frame_mirror_preview.webp","","iap_frame_mirror_350x350.webp","","","","","",-1,0,"","over"
"2102",8,"Hand of the Mummy","* Exclusive Pool Tournament prize!","",7500,"pool","{}",1,623,"iap_game_pool_mummy.webp","iap_game_pool_mummy_preview.webp","","","","","","","",1102,0,"",""
"19002",4,"Bedroom Bubble","Dear bed\, let's get cozy","",5000,"","{}",0,1064,"iap_bedroom_item.webp","iap_bedroom_preview.webp","iap_bedroom_item_54x54.webp","iap_bedroom_asset.png","#400088","#6a3d9d","#64102d","#ea3d80","",-1,0,"",""
"20036",1,"Xmas Shades**","Look green with these shades","",2000,"","{}",1,179,"iap_frame_xmasshades.webp","iap_frame_xmasshades_preview.webp","","iap_frame_xmasshades_350x350.webp","","","","","",-1,0,"","over"
"620",6,"Going Batty*","Sometimes I dress in black or in very\, very dark grey","",125,"","{}",1,261,"iap_badge_bat.webp","iap_badge_bat_preview.webp","iap_badge_bat_54x54.webp","","","","","","",-1,0,"",""
"2034",8,"Pumpkin Lord*","Rule Halloween with this cue in Pool","",1500,"pool","{}",1,153,"iap_game_pool_pumpkin.webp","iap_game_pool_pumpkin_preview.webp","","","","","","","",1034,0,"",""
"1036",8,"Voodoo Hackers","* Exclusive Table Soccer Tournament prize!","",5000,"tablesoccer","{}",1,532,"iap_game_tablesoccer_voodoo.webp","iap_game_tablesoccer_voodoo_preview.webp","","","","","","","",36,0,"",""
"20176",1,"Survivor Frame**","Fight for your life as you search for food\, build shelter and fend off dangerous threats","",5000,"","{}",1,1571,"iap_frame_survivor.webp","iap_frame_survivor_preview.webp","","iap_frame_survivor_350x350.webp","","","","","",-1,0,"","over"
"29101",7,"Eliminate Zack","Equip this banner to remove Zack from the Island","",1000,"","{}",1,1580,"iap_banner_xzack.webp","iap_banner_xzack_asset.webp","","iap_banner_xzack_asset.webp","","","","","",-1,0,"",""
"60051",6,"Maté Tea","* Exclusive Tournament prize","",1000,"","{}",1,506,"iap_badge_matetea.webp","iap_badge_matetea_preview.webp","iap_badge_matetea_54x54.webp","","","","","","",-1,0,"",""
"20199",1,"Atlantean Warrior","They are a highly resilient race distinguished by their aquatic physiological features","",1000,"","{}",0,1721,"iap_frame_atlanteanwarrior.webp","iap_frame_atlanteanwarrior_preview.webp","","iap_frame_atlanteanwarrior_350x350.webp","","","","","",-1,1,"","over"
"645",6,"Xmas Tree**","A stunning Douglas fir for the foyer","",500,"","{}",1,120,"iap_badge_xmastree.webp","iap_badge_xmastree_preview.webp","iap_badge_xmastree_54x54.webp","","","","","","",-1,0,"",""
"680",6,"Console Gamer","Controller > Keyboard & Mouse","",500,"","{}",0,334,"iap_badge_console.webp","iap_badge_console_preview.webp","iap_badge_console_54x54.webp","","","","","","",-1,0,"",""
"2060",8,"Fanous Cue*","The light of the world (glow + special sound fx)","",6000,"pool","{}",1,294,"iap_game_pool_arabia.webp","iap_game_pool_arabia_preview.webp","","","","","","","",1060,0,"",""
"20085",1,"Corn Frame","* Exclusive Tournament prize","",5000,"","{}",1,580,"iap_frame_corn.webp","iap_frame_corn_preview.webp","","iap_frame_corn_350x350.webp","","","","","",-1,0,"","over"
"2005",8,"Zombie Finger","Get to the bloody point with this cue in Pool","",1000,"pool","{}",0,411,"iap_game_pool_zombie.webp","iap_game_pool_zombie_preview.webp","","","","","","","",1005,0,"",""
"4138",8,"Country Living**","The country has charms only for those not obliged to stay there","",2000,"crazy8","{}",1,1378,"iap_game_crazy8_countryliving.webp","iap_game_crazy8_countryliving_preview.webp","","","","","","","",1138,0,"",""
"29065",7,"Urban Forager","* Exclusive Tournament Prize","",3500,"","{}",1,1360,"iap_banner_urbanforager.webp","iap_banner_urbanforager_asset.webp","","iap_banner_urbanforager_asset.webp","","","","","",-1,0,"",""
"897",7,"Prosperity**","Only he who has no use for the empire is fit to be entrusted with it","",5000,"","{}",1,882,"iap_banner_prosperity.webp","iap_banner_prosperity_anim.webp","","iap_banner_prosperity_anim.webp","","","","","",-1,0,"",""
"2522",8,"Underground Bunker","Uncover the secrets of an underground bunker on the Island","",6000,"pool","{}",0,1587,"iap_game_pool_undergroundbunker.webp","iap_game_pool_undergroundbunker_preview.webp","","","","","","","",10022,0,"",""
"19031",4,"Cottage Basket**","Let's go foraging for berries in the woods!","",7000,"","{}",1,1409,"iap_cottagebasket_item.webp","iap_cottagebasket_preview.webp","iap_cottagebasket_item_54x54.webp","iap_cottagebasket_asset_5.png","#7a78cd","#ba92ba","#ba92ba","#ffffff","",-1,0,"",""
"60125",6,"Tom Yum Kung**","Spicy\, sour\, savory. Addictive!","",700,"","{}",1,1333,"iap_badge_tomyum.webp","iap_badge_tomyum_preview.webp","iap_badge_tomyum_54x54.webp","","","","","","",-1,0,"",""
"626",6,"Skully*","Show you're truly brainless","",250,"","{}",1,303,"iap_badge_skull.webp","iap_badge_skull_preview.webp","iap_badge_skull_54x54.webp","","","","","","",-1,0,"",""
"881",7,"Fall Colors*","Every leaf is a flower in Fall","",2500,"","{}",1,63,"iap_banner_fallcolors.webp","iap_banner_fallcolors_anim.webp","","iap_banner_fallcolors_anim.webp","","","","","",-1,0,"",""
"3007",8,"Swarm","Allied Swarms increase each other's ranks","",2750,"legions","{}",0,560,"iap_game_legions_swarm.webp","iap_game_legions_swarm_preview.webp","","","","","","","",1007,0,"",""
"20065",1,"Bowling Champ","* Exclusive Tournament prize","",4000,"","{}",1,252,"iap_frame_bowling.webp","iap_frame_bowling_preview.webp","","iap_frame_bowling_350x350.webp","","","","","",-1,0,"","over"
"765",6,"Trashcan","* Exclusive Tournament prize","",1000,"","{}",1,245,"iap_badge_trash.webp","iap_badge_trash_preview.webp","iap_badge_trash_54x54.webp","","","","","","",-1,0,"",""
"2149",8,"Aquarider Cue**","Forged in the deepest sea trenches (special sound fx)","",6000,"pool","{}",1,1308,"iap_game_pool_aquarider.webp","iap_game_pool_aquarider_preview.webp","","","","","","","",1149,0,"",""
"4091",8,"Elf Boot**","These tiny\, magical beings live inside a shoe and spend most of their time helping Santa ","",2000,"crazy8","{}",1,784,"iap_game_crazy8_elfboot.webp","iap_game_crazy8_elfboot_preview.webp","","","","","","","",1091,0,"",""
"20158",1,"Drum Frame**","Wake up to the sounds of beating drum","",4000,"","{}",1,1423,"iap_frame_drum.webp","iap_frame_drum_preview.webp","","iap_frame_drum_350x350.webp","","","","","",-1,0,"","over"
"740",6,"Squeezed 2gether**","Juiced from the same fruit","",500,"","{}",1,957,"iap_badge_squeezed.webp","iap_badge_squeezed_preview.webp","iap_badge_squeezed_54x54.webp","","","","","","",-1,0,"",""
"895",7,"Love Mix Tape","* Exclusive Plox Tournament prize","",1500,"","{}",1,219,"iap_banner_lovemixtape.webp","iap_banner_lovemixtape_asset.webp","","iap_banner_lovemixtape_asset.webp","","","","","",-1,0,"",""
"1045",8,"Winter Creatures**","Play as the friendly snowman or the abominable snowman","",6000,"tablesoccer","{}",1,814,"iap_game_tablesoccer_winter.webp","iap_game_tablesoccer_winter_preview.webp","","","","","","","",45,0,"",""
"20091",1,"Sausage Frame*","Show you're still sizzlin'","",1000,"","{}",1,638,"iap_frame_sausage.webp","iap_frame_sausage_preview.webp","","iap_frame_sausage_350x350.webp","","","","","",-1,0,"","over"
"2508",8,"Flamewalker Table","Surrounded by lava\, the volcano is home to the Flamewalkers","",3000,"pool","{}",0,1317,"iap_game_pool_flamewalkertable.webp","iap_game_pool_flamewalkertable_preview.webp","","","","","","","",10008,0,"",""
"2514",8,"Terraforce Base","The headquarters and command center of the Terraforce","",6000,"pool","{}",0,1469,"iap_game_pool_terrabase.webp","iap_game_pool_terrabase_preview.webp","","","","","","","",10014,0,"",""
"8044",8,"Blackhole Ball**","This ball's gravity is so strong that it would suck even light itself into oblivion","",4000,"bowling","{}",1,1494,"iap_game_bowling_ball_blackhole.webp","iap_game_bowling_ball_blackhole_preview.webp","","","","","","","",1044,0,"",""
"29046",7,"Earthmender**","The Earthmenders are healers of mother nature","",3000,"","{}",1,1294,"iap_banner_earthmender.webp","iap_banner_earthmender_asset.webp","","iap_banner_earthmender_asset.webp","","","","","",-1,0,"",""
"60050",6,"Perfume*","L’artisan parfumeur","",750,"","{}",1,489,"iap_badge_perfume.webp","iap_badge_perfume_preview.webp","iap_badge_perfume_54x54.webp","","","","","","",-1,0,"",""
"181",4,"Turkey Bubble*","Gobble\, gobble","",5000,"","{}",1,738,"iap_turkey_item.webp","iap_turkey_preview.webp","iap_turkey_item_54x54.webp","iap_turkey_asset.png","#FD9ABB","#FFDAE6","#FFFFFF","#808EF4","",-1,0,"",""
"729",6,"Red-hot Reindeer**","Mmmm\, toasty","",1000,"","{}",1,212,"iap_badge_warmreindeer.webp","iap_badge_warmreindeer_preview.webp","iap_badge_warmreindeer_54x54.webp","","","","","","",-1,0,"",""
"2127",8,"Bamboo Cue","Strong and flexible\, bamboo is an excellent base for many weapons","",3000,"pool","{}",0,931,"iap_game_pool_bamboo_2.webp","iap_game_pool_bamboo_preview.webp","","","","","","","",1127,0,"",""
"19048",4,"Jack's Beanstalk**","Fee-fi-fo-fum!","",5000,"","{}",1,1544,"iap_jacksbeanstalk_item.webp","iap_jacksbeanstalk_preview.webp","iap_jacksbeanstalk_item_54x54.webp","iap_jacksbeanstalk_asset.png","#9efffc","#ec4fff","#ec4fff","#76e076","",-1,0,"",""
"980",7,"Calico Jack's Room","* Exclusive Tournament prize","",3500,"","{}",1,916,"iap_banner_calicotable.webp","iap_banner_calicotable_asset.webp","","iap_banner_calicotable_asset.webp","","","","","",-1,0,"",""
"662",6,"Cupid**","Love is mischievous","",2000,"","{}",1,940,"iap_badge_cupid.webp","iap_badge_cupid_preview.webp","iap_badge_cupid_54x54.webp","","","","","","",-1,0,"",""
"717",6,"Harvest*","Simply bountiful","",250,"","{}",1,104,"iap_badge_harvest.webp","iap_badge_harvest_preview.webp","iap_badge_harvest_54x54.webp","","","","","","",-1,0,"",""
"29114",7,"Queen Basilea","She was the first queen of the legendary Kingdom of Atlantis","",1500,"","{}",0,1693,"iap_banner_queenbasilea.webp","iap_banner_queenbasilea_asset.webp","","iap_banner_queenbasilea_asset.webp","","","","","",-1,1,"",""
"650",6,"Warm Lamb**","Get hygge with it","",1000,"","{}",1,115,"iap_badge_warmsheep.webp","iap_badge_warmsheep_preview.webp","iap_badge_warmsheep_54x54.webp","","","","","","",-1,0,"",""
"928",7,"Quack Quack","* Exclusive Tournament prize","",1500,"","{}",1,59,"iap_banner_quackquack.webp","iap_banner_quackquack_asset.webp","","iap_banner_quackquack_asset.webp","","","","","",-1,0,"",""
"60267",6,"Popsicle Love","Some people are worth melting for","",250,"","{}",0,1657,"iap_badge_popsiclelove.webp","iap_badge_popsiclelove_preview.webp","iap_badge_popsiclelove_54x54.webp","","","","","","",-1,0,"",""
"739",6,"Macaroon**","Tonight is all ours","",500,"","{}",1,956,"iap_badge_macaroon.webp","iap_badge_macaroon_preview.webp","iap_badge_macaroon_54x54.webp","","","","","","",-1,0,"",""
"4016",8,"Hahaha*","Why aren't you laughing?","",1000,"crazy8","{}",1,150,"iap_game_crazy8_hahaha.webp","iap_game_crazy8_hahaha_preview.webp","","","","","","","",1016,0,"",""
"19059",4,"Popsicle Bubble","Keep cool and have a popsicle","",2500,"","{}",0,1640,"iap_popsicle_item.webp","iap_popsicle_preview.webp","iap_popsicle_item_54x54.webp","iap_popsicle_asset.png","#f4e6c1","#9cf1ff","#f260ed","#9cf1ff","",-1,0,"",""
"20190",1,"Pool Party Frame","* Exclusive Tournament Prize!","",3000,"","{}",1,1688,"iap_frame_poolparty.webp","iap_frame_poolparty_preview.webp","","iap_frame_poolparty_350x350.webp","","","","","",-1,0,"","over"
"60157",6,"Prickly Love**","Because we all know Love hurts","",700,"","{}",1,988,"iap_badge_cactusballoon.webp","iap_badge_cactusballoon_preview.webp","iap_badge_cactusballoon_54x54.webp","","","","","","",-1,0,"",""
"29111",7,"Summer Time","Smell the sea and feel the sky","",1500,"","{}",0,1665,"iap_banner_summertime.webp","iap_banner_summertime_asset.webp","","iap_banner_summertime_asset.webp","","","","","",-1,0,"",""
"60035",6,"Maypole","Because it's midsommer somewhere","",9780,"","{}",0,461,"iap_badge_midsommar.webp","iap_badge_midsommar_preview.webp","iap_badge_midsommar_54x54.webp","","","","","","",-1,0,"",""
"609",6,"Unicorn","Why? Because you're a precious magical creature","",500,"","{}",0,321,"iap_badge_unicorn.webp","iap_badge_unicorn_preview.webp","iap_badge_unicorn_54x54.webp","","","","","","",-1,0,"",""
"613",6,"Bright Idea!","Look smart and get smart\, friend","",250,"","{}",0,562,"iap_badge_lightbulb.webp","iap_badge_lightbulb_preview.webp","iap_badge_lightbulb_54x54.webp","","","","","","",-1,0,"",""
"2000",8,"Blue Force","Use the powerful Blue Force (special fx & sfx)","",7500,"pool","{}",0,745,"iap_game_pool_blueforce.webp","iap_game_pool_blueforce_preview.webp","","","","","","","",1000,0,"",""
"20146",1,"S1 Gold Frame","* Exclusive reward for getting to Gold in Season 1 Ranked!","",999999,"","{}",1,1268,"iap_frame_gold_rankeds1.webp","iap_frame_gold_rankeds1_preview.webp","","iap_frame_gold_rankeds1_350x350.webp","","","","","",-1,0,"","over"
